begin_sha,end_sha,commits,additions,deletions,changed_files,total_time,begin_Dispensables,begin_Bloaters,begin_Change Preventers,begin_Couplers,begin_Object-Orientation Abusers,end_Dispensables,end_Bloaters,end_Change Preventers,end_Couplers,end_Object-Orientation Abusers,cluster,timedelta,formatted_duration
a5aa549dc84433ac74aecf08024b4081c5a55574,f0c4d415c76c99f1daec2b269b0906db0696dedf,9,45,25,2,1655553000000000,970,522.0,522.0,349.0,349.0,898.0,503.0,503.0,295.0,713.0,0,19 days 03:52:33,19 days 03:52:33
a5aa549dc84433ac74aecf08024b4081c5a55574,469c034423bc079a4a9c5eb993f2c706dbe1d0a7,2,384,1,13,351181000000000,970,522.0,522.0,349.0,349.0,901.0,503.0,503.0,295.0,713.0,0,4 days 01:33:01,4 days 01:33:01
4afa68e4605dd3b0c9692877a1e9ddf85ce7a740,c168fa06fdf8204b91958ba017d4bc4c2830f052,65,285,65,14,2139156000000000,953,530.0,530.0,340.0,340.0,902.0,500.0,500.0,324.0,705.0,0,24 days 18:12:36,24 days 18:12:36
b5230a2756cf06ab4cfb59c926bd82583fa6857d,c23ba9a1169227480c28efce43c0403e19164b3d,1,168,0,1,639738000000000,969,522.0,522.0,349.0,349.0,898.0,499.0,499.0,295.0,712.0,0,7 days 09:42:18,7 days 09:42:18
b5230a2756cf06ab4cfb59c926bd82583fa6857d,b3b05385975bcbf576b11a55881055c96fdf1eac,1,495,412,6,618931000000000,969,522.0,522.0,349.0,349.0,898.0,499.0,499.0,295.0,712.0,0,7 days 03:55:31,7 days 03:55:31
5952e4ea80bbbf140f54dc4b99fdd57942d14a1e,d1319d8187c35054db6f074218431be6247120d9,12,39,80,8,22694000000000,973,522.0,522.0,349.0,349.0,898.0,498.0,498.0,295.0,714.0,0,0 days 06:18:14,0 days 06:18:14
5952e4ea80bbbf140f54dc4b99fdd57942d14a1e,975e835fc6ab94683a7f1842ab87b5713c26f7ac,3,155,98,9,68418000000000,973,522.0,522.0,349.0,349.0,896.0,498.0,498.0,295.0,714.0,0,0 days 19:00:18,0 days 19:00:18
11fd5b12fd73b0d47dcf53a91346d842658c56d7,3f7ded2a34c0c35b89901e222ceaee0d1fdf08b6,2,66,1,2,39751000000000,972,522.0,522.0,349.0,349.0,896.0,498.0,498.0,295.0,714.0,0,0 days 11:02:31,0 days 11:02:31
1db8b735c40db32d7a4bf740bbec336eabac02ea,b5230a2756cf06ab4cfb59c926bd82583fa6857d,3,19,11,2,63645000000000,974,522.0,522.0,349.0,349.0,915.0,503.0,503.0,295.0,721.0,0,0 days 17:40:45,0 days 17:40:45
80076304910a7345d0107c18fee1ab56ba137f40,10a1fa6158b02b720350f3ed9c736f402d2be0d4,2,126,139,1,25044000000000,974,522.0,522.0,348.0,348.0,887.0,508.0,508.0,297.0,698.0,0,0 days 06:57:24,0 days 06:57:24
e7d57b9f911ca9878f2255cf79d8b23b9c2562f3,dabe58a2bcbb09deaeb9bc2f26ef4e9ab5a417c0,1,289,98,13,1347778000000000,1944,1066.0,1066.0,698.0,698.0,901.0,503.0,503.0,295.0,713.0,0,15 days 14:22:58,15 days 14:22:58
80076304910a7345d0107c18fee1ab56ba137f40,b3aac19f6b81ca72aaf54991e95fe395fd80a5a0,3,25,8,2,176285000000000,974,522.0,522.0,348.0,348.0,896.0,498.0,498.0,295.0,714.0,0,2 days 00:58:05,2 days 00:58:05
80076304910a7345d0107c18fee1ab56ba137f40,11fd5b12fd73b0d47dcf53a91346d842658c56d7,4,138,15,4,56790000000000,974,522.0,522.0,348.0,348.0,898.0,499.0,499.0,295.0,712.0,0,0 days 15:46:30,0 days 15:46:30
53d8fe0e57f644989da927b65d00fecdbbfc4138,cffa3864b974499078fbdb37506ed992319b09c5,13,580,20,5,6031461000000000,936,569.0,569.0,357.0,357.0,1870.0,998.0,998.0,676.0,1532.0,0,69 days 19:24:21,69 days 19:24:21
b4264b71105dd5f732bbbee7bc3ccabfe2086fba,8b2a3bd9220e4f23d14f673d88fdf709692b7896,3,151,314,6,1797369000000000,970,527.0,527.0,348.0,348.0,901.0,500.0,500.0,295.0,713.0,0,20 days 19:16:09,20 days 19:16:09
330cec2797c9dcaa7c05dbd6efbeb58a80c4270f,4d09962a659a2b39a2580215975180e5491b1b00,6,74,33,6,1322343000000000,939,532.0,532.0,339.0,339.0,885.0,508.0,508.0,296.0,703.0,0,15 days 07:19:03,15 days 07:19:03
3ca0a982dc5b0b46f18b13b207fe838a4632875f,db896cd2ae3f8e82d68d67af2f6e6532cc2d538b,1,21,15,1,14549000000000,972,522.0,522.0,348.0,348.0,896.0,498.0,498.0,295.0,714.0,0,0 days 04:02:29,0 days 04:02:29
0a377c685ad8ee6ebb35ef40d5ad1f709fb590e1,6c4416977148597c86b83d68f13d47707621df3e,1,4,50,3,30194000000000,967,525.0,525.0,347.0,347.0,1792.0,982.0,982.0,586.0,1428.0,0,0 days 08:23:14,0 days 08:23:14
a44722f9345f14f8cdc86bb5ca763e15822303b6,6a7c0706cb86baad0f375b966e050e8cf4f2a5a3,9,521,6,6,7084598000000000,956,576.0,576.0,365.0,365.0,953.0,530.0,530.0,340.0,784.0,0,81 days 23:56:38,81 days 23:56:38
354d3dc5a16eade52bdcbd566bfb952ac3a1d8b6,0ebb555fab01117dd568cafa70275acea398894c,20,1187,22,23,3476571000000000,1002,557.0,557.0,355.0,355.0,1804.0,994.0,994.0,650.0,1414.0,0,40 days 05:42:51,40 days 05:42:51
874108337421a1204b41ceaf1f0a85ab5de77f50,4ded8faff3dbf81ab93e4863590620320a72d1c9,1,2,2,2,51525000000000,950,522.0,522.0,347.0,347.0,895.0,489.0,489.0,293.0,713.0,0,0 days 14:18:45,0 days 14:18:45
583fdb8e34e14f54cdb5df908e185f346217de7a,19467c49879b8d580ff240bd8dbf6c0ec11e47c9,1,6,6,3,336415000000000,950,522.0,522.0,347.0,347.0,895.0,489.0,489.0,293.0,713.0,0,3 days 21:26:55,3 days 21:26:55
b44a77db99e587d2d3e1b455b98f963e3700af43,583fdb8e34e14f54cdb5df908e185f346217de7a,2,6,0,2,11929000000000,949,524.0,524.0,347.0,347.0,887.0,488.0,488.0,292.0,711.0,0,0 days 03:18:49,0 days 03:18:49
b44a77db99e587d2d3e1b455b98f963e3700af43,22f38d6f0cf91e19fd3990ad73c6145c8c6fffc3,6,27,24,4,8820000000000,949,524.0,524.0,347.0,347.0,896.0,491.0,491.0,294.0,714.0,0,0 days 02:27:00,0 days 02:27:00
b44a77db99e587d2d3e1b455b98f963e3700af43,874108337421a1204b41ceaf1f0a85ab5de77f50,2,35,30,2,21465000000000,949,524.0,524.0,347.0,347.0,895.0,489.0,489.0,293.0,713.0,0,0 days 05:57:45,0 days 05:57:45
b44a77db99e587d2d3e1b455b98f963e3700af43,9df39166146d8bff00120dad01b1841d3d6d4832,11,211,9,5,345599000000000,949,524.0,524.0,347.0,347.0,886.0,486.0,486.0,292.0,710.0,0,3 days 23:59:59,3 days 23:59:59
10a1fa6158b02b720350f3ed9c736f402d2be0d4,5952e4ea80bbbf140f54dc4b99fdd57942d14a1e,19,123,13,2,545626000000000,972,522.0,522.0,349.0,349.0,886.0,486.0,486.0,293.0,710.0,0,6 days 07:33:46,6 days 07:33:46
